,movie,count_surprise,count_happy,count_fear,count_angry,count_sad,avg_conf_surprise,avg_conf_happy,avg_conf_fear,avg_conf_angry,avg_conf_sad,avg_rel_face_area_surprise,avg_rel_face_area_happy,avg_rel_face_area_fear,avg_rel_face_area_angry,avg_rel_face_area_sad,total_faces,angry_pct,fear_pct,happy_pct,sad_pct,surprise_pct,max_pct,dominant_emotion
12,lego_movie,173,25,0,20,77,0.8302827334472899,0.7338471412658691,0.0,0.7401242539286613,0.74957424286124,0.08952254156854347,0.09456265432098764,0.0,0.08585108024691358,0.09681682900432899,295,6.779661016949152,0.0,8.47457627118644,26.101694915254235,58.644067796610166,58.644067796610166,surprise
13,pineapple_exp,357,123,3,112,392,0.8191284078175948,0.7515020070037222,0.6514571905136108,0.7955818357212203,0.7941207272969947,0.06243998384036606,0.07315484666146092,0.059340343168026784,0.05672101997578692,0.069920919168044,987,11.347517730496454,0.303951367781155,12.462006079027356,39.71631205673759,36.17021276595745,39.71631205673759,sad
14,2_guns,222,90,7,57,273,0.7436129758218387,0.7123352663384543,0.5229101053306034,0.6942362377518102,0.7700072526931763,0.0995465444376961,0.08427347759744762,0.15194622792937398,0.0755763081236174,0.11473780199201548,649,8.782742681047766,1.078582434514638,13.86748844375963,42.06471494607088,34.20647149460709,42.06471494607088,sad
15,iron_man,322,72,0,54,334,0.7996295956165894,0.7854524643884765,0.0,0.693111268458543,0.8095865337077729,0.10742975897314647,0.09136946980638948,0.0,0.09649231404106058,0.0997624643934045,782,6.905370843989769,0.0,9.207161125319693,42.710997442455245,41.17647058823529,42.710997442455245,sad
16,mad_max_thunderdome,166,62,5,41,230,0.7801461503448257,0.7420408797840918,0.6072990298271179,0.686935750449576,0.7856678240973016,0.11827881070971216,0.09862934211129303,0.06652702440914374,0.07563873585268202,0.10638032458489854,504,8.134920634920634,0.992063492063492,12.3015873015873,45.63492063492063,32.93650793650794,45.63492063492063,sad
17,once_upon_a_time_in_mexico_t00,285,72,4,56,372,0.7895219889649173,0.7442746601170964,0.602394588291645,0.7410289458930492,0.8037965403449151,0.09622914636127353,0.10944633326903293,0.10522280092592592,0.06474154679232806,0.11323367806650729,789,7.097591888466413,0.5069708491761723,9.125475285171103,47.14828897338403,36.12167300380228,47.14828897338403,sad
18,frankenweenie,310,9,0,1,50,0.9255870805632683,0.711828178829617,0.0,0.5767411589622498,0.778630992770195,0.09994101803788204,0.15610525174127773,0.0,0.07335487941337523,0.11992018427255195,370,0.2702702702702703,0.0,2.4324324324324325,13.513513513513514,83.78378378378379,83.78378378378379,surprise
19,kingsman,329,66,3,90,290,0.8673752488336303,0.7699343918850927,0.45757996042569477,0.7553660180833605,0.7984075721995584,0.07311569743684472,0.08003585579552432,0.05303100061387354,0.06596224677716392,0.08912911983234896,778,11.568123393316196,0.3856041131105398,8.483290488431876,37.275064267352185,42.28791773778921,42.28791773778921,surprise
20,pacific_rim,164,41,0,30,141,0.8124010488390923,0.8391478192515489,0.0,0.7148399124542872,0.7759273817353215,0.06590182503387534,0.05654655036133695,0.0,0.053446566358024694,0.09887171247044921,376,7.9787234042553195,0.0,10.904255319148938,37.5,43.61702127659575,43.61702127659575,surprise
21,hp3_prisoner_of_azkaban,236,30,4,21,190,0.8684159500871674,0.7331843604644139,0.6940266937017441,0.7885061573414576,0.8044425032640758,0.07295694194573324,0.0730695220360025,0.10202804934823093,0.07050707930596199,0.09616971315626119,481,4.365904365904366,0.8316008316008316,6.237006237006238,39.5010395010395,49.064449064449065,49.064449064449065,surprise
22,real_steel,340,68,6,50,228,0.8338402533355881,0.752727602772853,0.6359061251084009,0.7758224129676818,0.7760443937098771,0.07365818868531016,0.0906357704739455,0.0877706941914592,0.06694224347298115,0.08245595726946385,692,7.225433526011561,0.8670520231213872,9.826589595375722,32.947976878612714,49.13294797687861,49.13294797687861,surprise
23,point_break,394,139,0,60,333,0.825139850831879,0.7733377042434199,0.0,0.7397726426521937,0.7870258807956994,0.11826197720074619,0.0888678617545524,0.0,0.10061730514855514,0.1238481957231957,926,6.479481641468683,0.0,15.010799136069114,35.96112311015119,42.54859611231102,42.54859611231102,surprise
24,boondock_saints,279,134,2,123,249,0.7873745813805569,0.7546528840242926,0.6986805498600006,0.7607070415969787,0.7588721409619573,0.08399606071520604,0.08758063237732902,0.09390573937908497,0.07199489213029385,0.09704947239940158,787,15.628970775095299,0.25412960609911056,17.026683608640404,31.639135959339264,35.45108005082592,35.45108005082592,surprise
25,pitch_black,288,64,3,36,286,0.8161499909021788,0.6826575757004321,0.725349485874176,0.7918391111824248,0.7840026227327493,0.13138650059072474,0.13288043950044753,0.20831018447071412,0.10066582987815122,0.14623166194588166,677,5.317577548005908,0.4431314623338257,9.453471196454949,42.245199409158054,42.540620384047266,42.540620384047266,surprise
26,amazing_spider-man_the,355,62,6,38,392,0.8097348008357304,0.7581314242655232,0.5355215420325597,0.7131268233060837,0.8205001213568814,0.08371174578334202,0.09209640083632022,0.09668145576131688,0.06836155782975958,0.09275628306878309,853,4.4548651817116065,0.7033997655334115,7.268464243845251,45.95545134818288,41.61781946072685,45.95545134818288,sad
27,hp2_chamber_of_secrets,552,123,7,77,402,0.8678297756806664,0.755127882569786,0.7739969875131335,0.742551410740072,0.7994761793915905,0.09433423913043475,0.09487817424470545,0.15512566137566136,0.08727954144620814,0.0979916198329341,1161,6.6322136089577945,0.6029285099052542,10.594315245478036,34.62532299741602,47.54521963824289,47.54521963824289,surprise
28,lotr_3,349,96,11,38,834,0.841410682928938,0.775979150707523,0.5721667571501299,0.7354525508064973,0.8785255312633743,0.15039474556935162,0.14883797100051444,0.1371860970819304,0.15837546702404157,0.1640625277555731,1328,2.86144578313253,0.8283132530120483,7.228915662650602,62.80120481927711,26.28012048192771,62.80120481927711,sad
29,hp7_deathly_hallows_part_2,217,24,9,30,262,0.8051000319867639,0.7628289846082529,0.6516644193066491,0.7943430056174596,0.8041658524338525,0.10232258420094448,0.07775816615226337,0.10600137174211248,0.12487217078189301,0.10347553541136553,542,5.535055350553505,1.6605166051660518,4.428044280442804,48.33948339483395,40.03690036900369,48.33948339483395,sad
30,inside_out,375,31,1,7,90,0.9455884115695954,0.7159284401324487,0.8962187170982361,0.6348470321723393,0.7793440338638093,0.09174045524691349,0.13946133885902032,0.031901041666666664,0.13632275132275132,0.10566194058641977,504,1.3888888888888888,0.1984126984126984,6.15079365079365,17.857142857142858,74.40476190476191,74.40476190476191,surprise
31,avengers_age_of_ultron,416,64,5,77,290,0.8241326288105204,0.7724816203117371,0.6010466277599334,0.7330958969020224,0.7715326751100606,0.08874382345085476,0.07527470341435183,0.085116512345679,0.1604561988936989,0.10938322158365263,852,9.03755868544601,0.5868544600938966,7.511737089201878,34.037558685446015,48.82629107981221,48.82629107981221,surprise
32,serenity,314,148,11,88,435,0.7730208895388683,0.7074099819402437,0.568172118880532,0.7666557522659952,0.7901059306901077,0.10325885748407648,0.10350704219844845,0.11602535774410773,0.09248931371001684,0.12573857891656023,996,8.835341365461847,1.104417670682731,14.859437751004014,43.674698795180724,31.52610441767068,43.674698795180724,sad
33,i_am_legend,255,73,12,60,290,0.777369546773387,0.7622414292538002,0.6397529939810435,0.7386876622835795,0.7475398944369678,0.15863606345315895,0.1597359763444952,0.2853257619598765,0.17882079475308643,0.2188182371487867,690,8.695652173913043,1.7391304347826086,10.579710144927535,42.028985507246375,36.95652173913043,42.028985507246375,sad
34,kick_ass,296,86,2,34,248,0.8442198707646614,0.7621672631696214,0.7052448987960815,0.7606893041554619,0.8007680259404644,0.07971537791282911,0.07499607531072713,0.07561297330850403,0.0829885073209917,0.08086610950922092,666,5.105105105105105,0.3003003003003003,12.912912912912914,37.23723723723724,44.44444444444444,44.44444444444444,surprise
35,hitchhikersguidetothegalaxy,221,41,0,60,258,0.8453246329434857,0.797660858165927,0.0,0.7522420033812522,0.8182728464982306,0.08691668290767762,0.10058339803903656,0.0,0.08035632542655015,0.10575150127263404,580,10.344827586206897,0.0,7.06896551724138,44.48275862068966,38.103448275862064,44.48275862068966,sad
36,jurassic_world,355,59,6,91,319,0.8395644256766414,0.7843373776492426,0.6609372099240621,0.8015766828269749,0.8085035177233825,0.07300553581091951,0.060631666138655685,0.0930074203876774,0.07136812758892198,0.09324394240503638,830,10.963855421686747,0.7228915662650602,7.1084337349397595,38.433734939759034,42.77108433734939,42.77108433734939,surprise
37,dodgeball,433,89,0,86,167,0.8730194740014594,0.7901725394002507,0.0,0.7875734148330467,0.8030701841779812,0.06499867859060136,0.06494613830568235,0.0,0.06961647077348032,0.07037896213887504,775,11.096774193548386,0.0,11.483870967741936,21.548387096774192,55.87096774193549,55.87096774193549,surprise
38,hp1_sorcerers_stone,518,135,6,65,397,0.8768126281647148,0.7884749990922434,0.533419594168663,0.6721920609474182,0.7801286592441482,0.09278825700700712,0.09159187814357564,0.12262924382716049,0.08382644824311493,0.10309150223901492,1121,5.798394290811775,0.535236396074933,12.042818911685995,35.41480820695807,46.208742194469224,46.208742194469224,surprise
39,47_ronin,245,63,7,41,370,0.8163737012415516,0.7005078915565733,0.7280392476490566,0.6701693956444903,0.8105317158473505,0.1232079161252516,0.11425413174008682,0.0766954253611557,0.08909718416004384,0.15529377340823977,726,5.647382920110193,0.9641873278236914,8.677685950413224,50.964187327823694,33.7465564738292,50.964187327823694,sad
40,dark_shadows,410,40,11,29,278,0.8408447256902369,0.7141482934355736,0.6500406427816912,0.7153268220095799,0.7609953937127436,0.07878818052630386,0.07657889391829155,0.056390858445175995,0.07478918531681236,0.08590758660481089,768,3.7760416666666665,1.4322916666666665,5.208333333333334,36.19791666666667,53.385416666666664,53.385416666666664,surprise
41,airplane,342,110,6,76,276,0.8208449052439796,0.7654223675077612,0.6935546199480692,0.7126799857145861,0.8071528063088224,0.07372004557483089,0.052652255798205524,0.04753792287399131,0.057109581740664515,0.08536207847542701,810,9.382716049382717,0.7407407407407408,13.580246913580247,34.074074074074076,42.22222222222222,42.22222222222222,surprise
42,chronicles_of_riddick,346,74,7,64,354,0.8166157574839674,0.7279368651074332,0.5754420927592686,0.7495363126508892,0.7735361919901466,0.12460275990696282,0.15445047802039324,0.1190963814904493,0.1397237793275267,0.1386968743017653,845,7.573964497041421,0.8284023668639053,8.757396449704142,41.89349112426036,40.946745562130175,41.89349112426036,sad
43,finding_nemo,149,22,2,5,54,0.8804425975220316,0.7133446620269255,0.44263245165348053,0.6450226366519928,0.7723346330501415,0.1180923168344519,0.15118555345117848,0.17956741898148149,0.08198726851851852,0.18068415637860083,232,2.1551724137931036,0.8620689655172413,9.482758620689655,23.275862068965516,64.22413793103449,64.22413793103449,surprise
44,black_mass,314,87,4,125,431,0.7866426582928676,0.7660993967933216,0.5230189338326454,0.7902930948734284,0.7993271995309887,0.10179908046315951,0.09391962005108559,0.15089023919753086,0.1282804012345679,0.12509674601128581,961,13.007284079084286,0.41623309053069724,9.053069719042664,44.84911550468262,32.67429760665973,44.84911550468262,sad
45,domino,302,96,1,48,471,0.7714321041936116,0.8005227881173292,0.4048360586166382,0.7224403358995914,0.8282276176849495,0.1804408818106561,0.18005971170033663,0.5236111111111111,0.16916545007365322,0.20744617753972844,918,5.228758169934641,0.10893246187363835,10.457516339869281,51.307189542483655,32.89760348583878,51.307189542483655,sad
46,hot_fuzz,366,97,3,116,461,0.8188792115352193,0.7976641470624,0.5745185812314352,0.7654958762999239,0.8258073594332258,0.11180227443501822,0.10690493029054571,0.08413264784121138,0.09585248380643936,0.1243118890393611,1043,11.12176414189837,0.28763183125599234,9.300095877277085,44.19942473633749,35.09108341323107,44.19942473633749,sad
47,hp4_goblet_of_fire,422,84,1,71,364,0.8526049733726899,0.7297186386727151,0.7021636366844177,0.7887547834658287,0.7962530860370332,0.10007865067871978,0.10395938969723695,0.10888888888888888,0.10035086289340989,0.10317234559422071,942,7.537154989384288,0.10615711252653928,8.9171974522293,38.6411889596603,44.79830148619958,44.79830148619958,surprise
48,seven_psychopaths,267,72,7,90,434,0.7946139966950434,0.7704961333009932,0.6234229036739894,0.7580399827824699,0.8317236020680396,0.08467995734498539,0.08715261702674898,0.10341435185185185,0.06633924897119339,0.09567358088695446,870,10.344827586206897,0.8045977011494253,8.275862068965518,49.88505747126437,30.689655172413794,49.88505747126437,sad
